Şehir,Nüfus,Yüz Ölçümü,Demografi Endeksi,Altyapı Endeksi,Ulaşım Endeksi,Sağlık Endeksi,Sosyal Yaşam Endeksi,Eğitim Endeksi,Optimum Population
Adana,2270298,13928.208588957055,54.04324,71.71727,50.98772,42.3191,22.02546,39.04998,1673528.0
Adıyaman,415273,4828.7558139534885,36.3456987,60.05851,35.86929,30.85775,13.29960951,45.49229,578796.0
Afyonkarahisar,458364,8814.692307692309,39.64861546,66.20314,23.05949,34.23103,21.43944,50.9157,1054749.0
Aksaray,316264,5452.827586206897,37.96294654,62.67711,9.516613,31.18841,16.50808769,49.26588,654349.0
Amasya,248218,4136.966666666666,44.16586486,63.67748,36.16081,31.97616,22.35769,62.22447,498709.0
Ankara,5803482,24487.26582278481,73.24111,79.6667,41.49203,55.35093,48.23648,55.7891,2935788.0
Antalya,2696249,20740.376923076925,66.88574,61.85615,60.3177,46.40706,29.98843,49.76744,2483034.0
Ardahan,39990,2104.7368421052633,27.64140353,57.81316,11.33399,22.72818,14.93818881,49.81974,104029.0
Artvin,104669,4550.826086956522,46.77696,61.22916,21.57707,34.06919,18.5164884,54.29912,272004.0
Aydın,1161702,7849.3378378378375,54.72597,65.32571,46.1937,34.17006,20.96394,55.87418,938948.0
Ağrı,309721,6882.688888888889,21.51509066,49.95058,19.3848,29.51131,2.198135208,38.03634,805599.0
Balıkesir,1273519,14309.202247191011,54.48128,59.09972,59.1966,35.59986,34.4434,55.48303,1712858.0
Bartın,98273,982.73,34.87637521,65.15218,24.301,32.44558,15.32103333,56.11927,119032.0
Batman,531466,3823.4964028776976,37.88624761,50.50886,31.29309,36.33967,9.070459958,36.34606,456844.0
Bayburt,49606,2156.782608695652,43.18475389,67.09891,13.8014,29.91822,15.14343258,49.72446,129070.0
Bilecik,188528,3557.132075471698,55.8191,54.44585,24.06527,32.35212,15.33608467,53.6678,427909.0
Bingöl,189424,5412.114285714286,42.02462709,57.68514,28.22353,29.1437,10.18256615,47.08237,491836.0
Bitlis,231921,4547.470588235294,30.76639865,55.67841,24.96716,29.0519,11.45520668,41.97559,544790.0
Bolu,236509,6064.333333333333,49.4622,69.81489,8.911616,43.06739,23.30375,54.63902,613109.0
Burdur,194949,4754.8536585365855,46.61442,62.91855,22.34192,23.58435,17.26763909,63.85297,507354.0
Bursa,3214571,10436.91883116883,59.55614,69.54906,57.45779,42.34479,33.06054,47.67276,1483196.0
Denizli,1059082,11638.263736263736,57.34969,55.50956,36.51421,34.8155,30.32042,58.94349,1398089.0
Diyarbakır,1818133,15025.892561983472,38.07854555,58.3823,32.16212,36.96101,18.01424504,36.46042,1796275.0
Düzce,281750,1760.9375,46.92318,65.62205,26.20494,30.84695,28.19054,47.95677,212011.0
Edirne,317759,4605.202898550725,49.99419,64.14161,37.34405,39.84982,25.35972,58.22087,552657.0
Elazığ,457231,6439.87323943662,46.36953749,62.58644,41.80591,36.04179,15.52320195,48.36374,771811.0
Erzincan,180988,8618.47619047619,48.54524,56.08147,34.33475,35.73749,20.88623,62.88408,470917.0
Erzurum,749993,24999.766666666666,44.30974335,56.50169,32.50868,38.12453,24.88497,49.95857,1951314.0
Eskişehir,915418,13869.969696969696,64.19412,74.03523,43.83796,40.78397,30.16063,56.25636,1660141.0
Gaziantep,2164134,6826.921135646688,43.74086013,69.71739,43.97586,29.99387,17.41534584,29.5867,1004871.0
Giresun,291331,4284.279411764706,40.41352968,53.05903,39.56006,42.05916,14.84247346,58.545,512752.0
Gümüşhane,73744,3206.2608695652175,46.90522,66.15843,6125235.0,24.43165,12.7223017,43.44332,191832.0
Hakkari,184962,4624.05,43.00467094,28.3777,10.42905,19.69848,6.529672677,25.66081,481269.0
Hatay,1544640,5828.830188679245,50.75046,52.68858,58.31225,36.3401,19.7892,40.13213,711320.0
Isparta,337134,6243.222222222223,53.84735,70.16811,35.31414,44.7715,21.35913,61.04426,748739.0
Iğdır,123254,2125.0689655172414,30.84141342,36.69208,23.29044,29.90126,9.373789429,43.63464,256023.0
Kahramanmaraş,1116618,14315.615384615385,42.32249563,44.18498,30.58857,32.92485,15.35367477,40.29718,1711114.0
Karabük,191371,3086.6290322580644,48.88985,69.37166,21.87182,42.13552,20.62497,57.25029,370925.0
Karaman,201272,6709.066666666667,46.33594626,80.92565,26.09172,33.32669,15.71975693,56.13551,522884.0
Kars,148028,5482.518518518518,30.19510963,57.11203,32.54336,26.3665,8.128231769,44.53709,383873.0
Kastamonu,240908,8030.266666666666,32.25749047,57.16796,34.55636,31.03927,19.98144,55.7272,625027.0
Kayseri,1445683,17008.035294117646,55.4959,65.89053,36.43469,35.96761,23.27471,48.19234,2035848.0
Kırıkkale,244097,3874.5555555555557,53.23602,64.26519,37.08676,36.44577,19.63680202,58.25902,465365.0
Kırklareli,275529,4592.15,52.73096,72.64539,37.50935,34.63862,19.99697,52.93884,550974.0
Kırşehir,197834,5072.666666666667,49.72407,61.78372,19.92834,21.35526,20.21491,61.14924,513115.0
Kilis,121803,1117.4587155963302,45.32326926,73.00653,19.42001,31.51431,18.31720021,48.88247,135633.0
Kocaeli,2102907,3613.242268041237,62.15272,74.15108,61.27499,39.06031,31.53628,57.13184,986174.0
Konya,2320241,38670.683333333334,51.02873,73.52874,41.8835,42.96224,24.57493,52.93884,4629739.0
Kütahya,421114,8773.208333333334,46.64303,62.76065,35.36001,37.02198,24.28693,57.13184,1049309.0
Malatya,742725,11789.285714285714,49.42356,57.07207,41.37067,35.59538,18.86875838,52.03029,1411228.0
Manisa,1475716,13059.433628318584,49.19691,62.26143,22.53555,35.05477,19.6062164,46.24758,1567672.0
Mardin,888874,8800.732673267326,31.05457692,42.20682,31.60316,34.48683,9.638547042,35.9201,1052530.0
Mersin,1938389,15507.112,56.44825,65.71453,43.17627,35.4461,23.46866,47.52612,1855306.0
