Şehir,Nüfus,Optimum Population,Surplus_Deficit
Adana,2270298,388489.64920739,1881808.35079261
Ankara,5803482,811528.51644515,4991953.48355485
Antalya,2696249,502941.82970241,2193307.17029759
Aydın,1161702,220591.78390123,941110.21609877
Balıkesir,1273519,815972.83376169,457546.16623831005
Batman,531466,389983.84016588,141482.15983412002
Bursa,3214571,1285556.70574539,1929014.29425461
Diyarbakır,1818133,363627.98422674,1454505.01577326
Düzce,281750,208065.75734567,73684.24265433001
Elazığ,457231,84531.88509461,372699.11490539
Erzurum,749993,256544.44714565,493448.55285435
Gaziantep,2164134,254926.59286878,1909207.40713122
Hatay,1544640,713609.40988708,831030.59011292
Kayseri,1445683,350314.60488865,1095368.3951113499
Kocaeli,2102907,140882.76822368,1962024.23177632
Manisa,1475716,512999.03821104,962716.42645062
Mardin,888874,546438.84503257,342435.15496743005
Mersin,1938389,1142251.38201115,796137.61798885
Ordu,775800,558247.35744224,217552.64255776
Sakarya,1098115,1060540.62197124,37574.378028759966
Tekirdağ,1167059,1037944.04194463,129114.95805537002
İstanbul,15655924,523635.41808852,15132288.58191148
İzmir,4479525,551643.82520682,3927881.17479318
Şanlıurfa,2213964,612146.32614345,1601817.67385655
